speed_ego,speed_other,distance,relative_speed,lane_difference,weather,brake_event,collision_risk
96.08,65.7,28.05,30.38,0,0,0,0.296
76.13,60.01,67.4,16.11,1,0,0,0.091
97.1,79.29,92.59,17.81,0,0,1,0.382
69.38,69.13,92.01,0.25,0,1,0,0.226
72.27,50.35,72.52,21.92,0,2,0,0.398
62.75,75.91,6.71,13.15,1,0,0,0.487
22.54,86.95,87.48,64.41,1,0,0,0.201
30.79,22.67,66.46,8.12,1,0,1,0.272
23.14,66.59,32.42,43.44,0,1,0,0.468
83.64,25.77,20.35,57.87,1,2,1,0.936
51.44,38.64,13.39,12.8,0,1,0,0.669
70.86,76.05,6.92,5.19,1,0,0,0.455
110.76,106.62,75.9,4.14,0,2,0,0.347
44.93,108.28,25.11,63.35,0,0,0,0.392
61.04,26.99,4.38,34.04,0,0,0,0.836
95.56,61.91,40.93,33.64,0,0,1,0.468
42.88,78.3,49.3,35.42,0,1,0,0.378
27.7,34.71,18.58,7.01,0,1,0,0.525
48.98,96.54,6.32,47.57,0,1,0,1.0
36.12,94.42,20.53,58.3,0,1,0,0.621
112.97,110.33,68.55,2.64,0,0,1,0.357
100.81,20.85,10.06,79.96,1,1,1,1.0
83.34,41.67,56.39,41.67,1,0,1,0.365
107.15,102.72,16.35,4.43,1,0,1,0.413
100.37,87.06,21.18,13.31,0,0,0,0.291
38.66,109.44,40.52,70.78,1,2,1,0.73
109.26,25.72,11.88,83.54,1,2,0,1.0
73.93,79.7,18.97,5.76,0,0,0,0.29
100.74,76.9,36.2,23.84,0,0,0,0.254
109.61,23.57,34.31,86.04,0,0,0,0.414
51.8,71.35,75.43,19.55,0,0,0,0.195
31.01,80.95,9.33,49.95,1,0,0,0.464
42.79,39.13,86.32,3.66,0,0,0,0.149
62.71,47.33,81.99,15.38,0,0,1,0.381
101.8,84.03,77.07,17.77,0,0,0,0.189
106.07,66.83,32.32,39.24,0,0,1,0.503
20.7,105.8,82.64,85.11,0,0,1,0.555
71.07,54.24,19.91,16.84,0,0,0,0.309
61.74,46.67,14.19,15.08,0,1,0,0.648
42.21,118.49,6.41,76.28,0,1,0,1.0
31.99,111.11,94.05,79.13,0,1,0,0.421
53.76,22.9,32.19,30.86,1,0,0,0.183
114.29,97.07,91.93,17.22,1,0,0,0.081
52.32,31.03,28.72,21.29,0,2,0,0.607
71.88,22.75,90.94,49.13,0,0,0,0.261
90.3,47.37,90.59,42.93,0,0,0,0.246
56.36,46.93,92.52,9.43,0,1,0,0.248
117.18,101.93,50.62,15.25,0,0,0,0.206
116.24,91.07,86.86,25.18,0,0,0,0.203
45.18,118.16,95.18,72.98,1,0,0,0.219
69.72,91.15,33.81,21.43,0,0,0,0.254
50.09,61.83,43.05,11.74,1,0,1,0.309
48.48,89.89,72.49,41.41,0,0,0,0.251
23.69,119.95,31.44,96.26,0,0,1,0.649
80.96,91.01,75.87,10.06,0,1,0,0.266
70.27,96.17,9.24,25.9,0,2,1,1.0
25.15,113.84,53.3,88.69,0,1,0,0.501
47.86,31.37,13.99,16.5,1,0,0,0.275
110.83,90.48,30.75,20.35,0,1,0,0.421
43.96,105.08,27.35,61.12,0,0,0,0.376
34.49,115.44,84.22,80.95,1,0,0,0.243
68.95,41.1,20.96,27.85,0,0,0,0.329
118.57,70.39,81.23,48.17,0,1,0,0.356
44.21,88.06,79.81,43.85,0,0,0,0.253
87.21,44.75,50.89,42.47,0,2,0,0.509
96.16,80.05,24.92,16.11,0,1,1,0.66
43.76,45.76,24.24,1.99,0,0,1,0.444
92.82,53.35,47.56,39.48,0,1,1,0.593
56.78,64.15,2.86,7.37,0,0,0,1.0
83.23,72.92,54.07,10.31,1,0,0,0.089
83.35,64.94,95.37,18.42,0,0,0,0.182
73.58,69.32,17.16,4.26,0,1,0,0.546
29.03,49.86,58.19,20.83,0,1,0,0.32
103.53,35.9,96.25,67.63,0,0,0,0.305
52.08,24.73,86.33,27.34,0,0,0,0.208
38.65,39.6,85.34,0.95,0,0,0,0.143
24.08,78.19,82.54,54.12,1,0,0,0.177
79.09,98.61,32.28,19.52,0,2,0,0.564
87.76,36.92,89.28,50.83,0,1,0,0.355
21.66,30.86,94.25,9.2,1,1,0,0.146
71.21,94.93,50.59,23.72,0,1,0,0.345
42.65,50.52,36.75,7.87,1,1,0,0.255
84.52,115.15,42.59,30.63,0,0,1,0.457
37.44,91.43,34.75,54.0,1,0,1,0.433
89.09,52.68,22.82,36.42,0,0,0,0.338
58.67,48.95,62.61,9.72,1,1,1,0.384
113.67,72.37,57.13,41.3,0,0,0,0.263
33.75,27.91,47.33,5.84,0,1,0,0.309
54.11,31.77,11.39,22.34,0,1,0,0.771
31.35,37.59,80.1,6.24,1,1,1,0.352
112.47,97.47,19.14,15.0,0,0,1,0.511
107.73,71.39,13.23,36.35,0,0,1,0.637
45.79,21.06,63.06,24.74,1,0,0,0.116
86.0,87.35,41.07,1.35,0,1,0,0.32
101.72,62.37,7.86,39.35,0,1,0,1.0
75.52,71.09,36.85,4.43,1,0,0,0.104
72.97,41.41,77.63,31.55,0,0,0,0.223
44.19,75.18,62.29,30.99,1,1,0,0.238
29.31,117.92,37.55,88.61,0,0,0,0.412
109.72,27.34,20.8,82.38,0,2,1,1.0
110.04,48.39,63.92,61.65,0,0,1,0.508
83.31,44.3,88.98,39.01,1,2,0,0.314
53.9,44.85,65.33,9.05,1,0,0,0.075
54.92,57.87,81.66,2.95,0,0,1,0.35
92.6,101.81,53.11,9.22,0,0,1,0.388
109.71,111.29,72.36,1.57,0,1,0,0.249
108.71,40.22,89.83,68.49,1,0,1,0.41
97.99,74.29,77.77,23.69,0,1,0,0.298
84.2,83.69,91.17,0.51,0,0,1,0.339
28.41,72.18,44.25,43.77,1,2,0,0.441
36.16,63.41,90.61,27.24,1,0,1,0.306
109.86,39.2,62.91,70.66,0,0,1,0.531
80.64,68.82,87.26,11.82,1,0,0,0.069
20.92,60.12,5.86,39.2,1,0,0,0.608
30.15,99.56,66.47,69.41,1,0,1,0.425
86.35,96.36,85.1,10.01,0,0,0,0.166
20.51,33.4,19.07,12.89,0,1,0,0.531
36.08,28.85,66.86,7.23,1,0,0,0.07
74.87,110.82,82.85,35.94,0,0,0,0.232
89.19,73.55,30.22,15.64,0,0,0,0.251
85.2,105.78,41.71,20.58,0,0,0,0.233
42.43,25.82,57.81,16.61,0,0,0,0.201
91.22,72.65,52.88,18.57,0,1,0,0.326
43.72,73.94,5.84,30.22,1,0,0,0.587
52.54,106.07,11.67,53.53,0,1,0,0.836
94.65,29.76,11.85,64.89,0,0,0,0.535
84.96,44.04,27.7,40.92,0,0,0,0.324
104.92,60.65,26.09,44.27,0,2,1,0.898
85.76,106.58,74.74,20.82,0,0,0,0.198
76.83,113.89,58.13,37.06,1,0,1,0.352
29.37,119.27,76.87,89.9,0,0,0,0.37
56.77,115.92,8.85,59.15,0,1,0,1.0
46.52,20.59,49.55,25.93,1,0,0,0.134
44.4,24.77,33.73,19.63,0,2,0,0.551
117.3,34.76,85.29,82.54,0,0,1,0.547
59.31,54.89,71.36,4.42,0,0,0,0.159
109.2,102.99,87.19,6.21,0,0,1,0.355
83.11,109.27,6.55,26.15,0,0,0,0.629
99.48,38.68,72.64,60.8,1,0,1,0.4
70.26,81.97,54.92,11.7,0,1,1,0.504
77.69,111.74,82.85,34.05,0,1,0,0.319
69.25,66.37,51.7,2.88,0,0,0,0.174
39.52,30.35,54.94,9.17,0,1,0,0.298
92.25,65.78,7.07,26.46,1,1,0,0.983
48.08,57.58,67.52,9.5,0,0,0,0.175
22.43,77.77,28.77,55.33,0,0,0,0.356
84.55,63.87,3.93,20.68,0,0,0,0.862
37.71,21.73,8.51,15.98,1,0,0,0.408
114.05,119.4,95.81,5.35,0,1,0,0.236
115.39,74.35,35.92,41.04,0,0,0,0.297
111.49,67.36,87.07,44.12,0,1,1,0.54
57.02,115.46,96.05,58.45,1,1,1,0.468
21.55,35.59,94.44,14.04,0,0,0,0.172
112.83,38.92,88.41,73.91,0,0,0,0.324
62.82,100.8,89.69,37.98,0,1,0,0.322
116.67,46.08,30.32,70.58,0,0,0,0.388
116.36,99.92,16.84,16.44,0,1,0,0.583
105.3,47.15,64.65,58.15,0,0,0,0.299
49.44,23.32,49.83,26.13,1,1,0,0.253
58.51,71.7,11.68,13.19,1,2,0,0.961
105.11,39.67,68.4,65.45,1,0,1,0.414
51.69,95.78,57.16,44.09,0,0,1,0.47
36.95,84.12,86.58,47.17,1,0,1,0.358
75.68,112.36,61.7,36.68,0,0,0,0.248
113.62,98.3,58.25,15.32,0,1,0,0.306
89.6,38.08,45.19,51.53,0,0,0,0.305
77.01,100.02,47.35,23.01,0,0,0,0.23
29.72,84.17,95.53,54.46,0,1,0,0.359
81.5,86.9,15.57,5.39,0,0,1,0.525
119.01,103.23,45.73,15.78,0,1,0,0.339
34.01,77.38,66.27,43.37,0,0,0,0.26
71.83,66.6,44.44,5.23,0,0,1,0.39
107.74,83.66,29.76,24.07,1,0,1,0.374
94.08,49.8,30.16,44.28,1,0,0,0.223
89.7,38.26,24.9,51.44,1,1,0,0.449
90.25,81.66,35.7,8.59,1,0,0,0.117
55.95,43.38,87.42,12.56,1,0,0,0.071
49.36,27.99,51.51,21.37,0,0,0,0.22
100.94,20.06,25.54,80.88,1,0,1,0.534
101.01,80.83,39.68,20.18,0,1,0,0.373
106.71,56.21,12.37,50.49,1,0,0,0.388
111.32,95.23,90.6,16.09,0,0,0,0.178
71.13,57.52,42.0,13.62,0,0,0,0.215
70.15,68.6,98.08,1.55,1,0,0,0.039
99.83,60.71,36.06,39.12,0,0,0,0.292
85.0,85.06,83.96,0.06,0,0,0,0.141
90.2,55.61,27.13,34.58,0,1,1,0.685
99.58,116.38,9.46,16.8,0,0,1,0.677
109.0,113.61,5.11,4.61,1,0,0,0.584
53.8,104.8,61.4,51.0,0,1,1,0.59
57.56,112.03,32.53,54.47,0,0,0,0.341
29.4,64.91,45.46,35.52,1,0,1,0.364
77.83,73.64,82.23,4.18,1,0,1,0.253
23.59,94.21,26.31,70.62,0,1,0,0.583
66.56,89.61,32.25,23.05,1,0,0,0.163
74.26,109.07,84.84,34.8,0,0,0,0.228
48.65,91.63,50.29,42.98,0,0,0,0.276
79.08,119.79,83.11,40.71,1,0,0,0.143
23.05,54.85,38.7,31.8,1,0,0,0.168
23.73,103.3,41.04,79.56,0,1,1,0.715
102.26,89.76,18.38,12.5,0,0,0,0.312
56.02,89.14,91.8,33.12,0,0,1,0.421
32.71,52.58,89.88,19.88,1,0,1,0.288
72.22,98.56,98.45,26.34,1,1,1,0.386
97.0,110.04,41.44,13.04,0,1,0,0.348
41.58,41.85,82.22,0.27,0,1,0,0.235
82.29,82.55,42.67,0.26,0,2,0,0.441
28.53,59.21,46.52,30.68,1,1,1,0.474
25.17,118.95,83.34,93.79,0,1,0,0.467
73.14,67.88,19.38,5.25,0,1,0,0.507
74.06,42.83,23.59,31.23,0,0,0,0.32
83.74,58.19,32.84,25.56,0,2,0,0.574
92.61,85.38,79.24,7.23,0,0,1,0.362
117.59,27.61,38.52,89.98,0,0,0,0.414
71.63,80.36,37.1,8.73,0,0,0,0.214
52.3,113.12,99.88,60.83,1,1,0,0.271
99.52,105.04,39.61,5.52,0,0,1,0.4
47.08,26.77,26.28,20.32,0,0,1,0.479
63.9,119.34,63.07,55.44,0,0,0,0.293
27.85,89.87,80.58,62.03,0,1,0,0.391
22.54,36.23,8.82,13.69,0,0,0,0.491
116.26,21.24,62.65,95.02,0,1,0,0.498
103.6,37.13,5.5,66.47,1,1,1,1.0
89.6,103.82,53.58,14.22,1,1,0,0.214
60.9,22.16,27.19,38.73,1,0,1,0.421
37.33,43.31,32.05,5.99,0,1,0,0.377
35.64,95.73,47.78,60.09,1,0,0,0.222
45.02,78.61,92.86,33.59,1,0,1,0.321
74.92,98.27,71.65,23.35,0,0,0,0.207
91.46,94.62,93.81,3.16,0,0,1,0.345
86.02,25.06,66.68,60.96,0,0,0,0.304
47.99,109.25,2.7,61.26,0,0,0,1.0
115.49,42.7,28.03,72.78,1,0,1,0.503
93.79,75.34,90.77,18.45,0,1,1,0.472
75.44,84.43,65.06,8.99,0,1,0,0.278
81.17,36.86,98.2,44.31,0,1,1,0.531
61.96,117.62,17.28,55.66,0,0,0,0.431
44.77,68.82,31.08,24.04,1,0,1,0.369
55.6,25.76,37.51,29.83,0,0,0,0.265
95.78,113.73,34.0,17.94,0,0,0,0.245
21.44,78.63,26.7,57.19,0,0,1,0.569
31.61,89.92,45.46,58.31,1,0,0,0.221
24.6,72.52,64.95,47.92,0,0,0,0.273
24.07,103.47,32.5,79.4,1,0,0,0.303
105.55,23.31,9.81,82.23,0,0,0,0.629
90.37,46.84,71.44,43.53,0,1,0,0.355
67.42,66.96,46.98,0.45,0,1,0,0.297
29.78,27.66,56.54,2.12,0,0,0,0.166
69.16,90.59,46.63,21.43,0,0,1,0.427
67.35,59.37,89.26,7.98,0,2,0,0.336
37.32,47.27,56.76,9.95,0,1,0,0.296
63.39,20.34,92.48,43.05,0,0,0,0.245
59.85,91.98,52.04,32.13,0,0,0,0.246
81.59,103.38,30.67,21.8,0,0,1,0.465
83.51,59.5,36.83,24.01,1,1,0,0.295
24.53,76.42,53.17,51.89,0,0,0,0.294
57.46,42.77,53.94,14.69,0,0,0,0.2
82.59,82.22,69.36,0.37,0,1,0,0.25
70.31,21.21,24.0,49.1,0,1,0,0.553
105.65,68.86,66.57,36.78,0,0,1,0.444
85.87,84.42,78.3,1.45,0,0,1,0.348
36.29,111.82,68.31,75.53,1,1,1,0.54
27.06,58.13,49.22,31.08,1,0,0,0.147
84.24,96.52,99.18,12.28,0,1,0,0.251
22.65,79.77,41.67,57.12,0,0,0,0.325
78.58,112.7,12.45,34.12,0,2,0,1.0
114.02,59.84,82.51,54.19,0,0,1,0.477
77.55,51.91,22.8,25.64,0,0,0,0.311
58.82,108.71,71.9,49.9,1,0,0,0.173
84.33,24.92,19.54,59.4,0,1,0,0.639
65.83,33.64,3.65,32.19,0,0,1,1.0
74.56,28.24,17.66,46.32,0,0,0,0.403
114.15,104.31,38.94,9.84,1,0,0,0.112
58.61,21.06,12.45,37.55,0,1,1,0.964
116.12,106.17,21.37,9.95,0,0,0,0.281
110.54,65.13,76.93,45.41,0,0,1,0.458
39.58,20.4,77.45,19.18,0,0,0,0.193
26.94,60.16,82.11,33.23,0,0,1,0.425
30.08,38.68,84.43,8.6,0,0,1,0.362
21.82,82.44,43.2,60.62,0,0,1,0.531
29.44,87.94,87.02,58.49,1,1,0,0.276
88.3,68.75,53.54,19.55,0,1,0,0.327
27.12,24.05,48.12,3.07,0,1,0,0.3
51.9,85.61,72.42,33.72,0,0,0,0.232
104.49,104.2,22.95,0.28,0,1,0,0.443
22.33,92.03,79.37,69.71,1,0,0,0.218
101.45,103.0,44.09,1.55,0,1,0,0.309
48.19,40.05,14.47,8.13,0,0,0,0.347
31.82,108.89,13.69,77.07,0,0,1,0.731
89.67,52.22,18.16,37.45,1,1,0,0.509
82.89,21.34,89.28,61.55,0,0,1,0.493
107.75,104.34,99.11,3.41,0,2,0,0.313
93.51,114.18,36.98,20.68,0,1,0,0.386
100.35,85.56,30.63,14.79,0,1,0,0.408
48.2,43.14,23.44,5.06,1,1,0,0.349
37.74,45.17,82.73,7.43,0,0,0,0.16
95.06,66.66,22.5,28.4,0,0,0,0.32
100.68,109.78,92.56,9.1,0,1,0,0.248
119.05,34.96,67.4,84.09,0,0,0,0.361
61.26,102.6,89.92,41.34,0,1,0,0.33
57.2,49.13,56.29,8.07,1,1,0,0.192
97.64,100.86,69.69,3.22,0,0,1,0.358
54.08,112.03,62.71,57.95,0,0,0,0.3
113.08,62.75,83.46,50.33,0,1,0,0.359
105.84,56.51,83.91,49.34,1,0,0,0.165
62.9,100.22,59.8,37.32,0,0,0,0.251
95.09,72.95,63.99,22.14,0,0,0,0.209
95.45,88.44,92.34,7.01,1,1,0,0.143
30.31,82.28,93.13,51.97,0,2,0,0.441
110.26,35.29,67.1,74.97,0,0,0,0.339
70.53,104.48,2.76,33.95,0,2,1,1.0
102.65,39.58,12.23,63.07,0,0,0,0.522
52.0,113.23,86.08,61.22,0,1,1,0.583
109.55,45.06,10.3,64.5,1,0,0,0.471
58.92,93.39,22.92,34.47,0,0,1,0.532
21.08,48.47,24.59,27.38,0,1,1,0.692
110.54,51.78,60.82,58.76,0,0,0,0.304
29.13,51.0,58.51,21.87,0,0,1,0.413
51.93,94.79,30.36,42.86,1,0,0,0.219
115.01,75.68,22.35,39.32,0,0,0,0.348
115.06,108.3,76.92,6.77,1,0,1,0.262
77.34,50.74,93.67,26.61,1,2,0,0.277
83.18,89.2,7.17,6.02,1,1,1,1.0
64.84,95.29,15.05,30.45,0,0,0,0.394
49.32,35.15,64.93,14.17,0,2,0,0.395
52.87,60.06,80.84,7.19,0,0,1,0.361
87.25,68.28,79.54,18.97,0,1,0,0.284
95.24,55.57,72.53,39.67,0,0,0,0.247
99.16,52.21,88.97,46.95,0,0,0,0.256
98.96,88.64,23.3,10.32,1,0,1,0.37
29.12,41.59,12.51,12.47,0,1,0,0.699
69.44,90.94,62.31,21.5,0,1,0,0.314
25.76,113.5,82.58,87.75,0,0,0,0.361
74.95,76.52,59.04,1.57,0,0,0,0.162
64.15,81.14,96.37,16.99,0,1,0,0.264
108.77,26.89,79.97,81.88,0,1,1,0.641
55.09,106.45,70.68,51.36,0,1,0,0.376
31.71,48.54,7.91,16.84,0,0,0,0.535
34.3,81.51,12.56,47.21,0,0,0,0.476
96.15,117.91,78.91,21.76,0,1,0,0.292
81.82,79.55,21.43,2.27,0,0,0,0.262
30.11,92.47,4.83,62.36,0,0,0,0.857
28.41,64.53,91.25,36.12,0,0,0,0.228
90.1,26.04,89.3,64.06,0,0,0,0.299
27.28,99.76,23.41,72.48,0,1,0,0.618
102.19,23.5,78.46,78.69,1,1,1,0.535
90.62,90.07,6.7,0.56,0,2,0,1.0
28.13,22.29,29.94,5.84,0,0,0,0.228
28.48,106.23,63.12,77.75,1,0,0,0.249
118.66,35.76,76.79,82.9,0,0,0,0.352
57.43,71.43,3.02,14.0,0,0,0,1.0
57.06,79.72,33.97,22.65,1,0,0,0.157
101.28,65.75,23.01,35.53,0,0,1,0.535
114.72,54.08,99.88,60.65,1,0,1,0.386
118.6,66.78,67.76,51.82,0,1,0,0.381
95.34,51.14,41.76,44.2,0,0,0,0.292
57.63,63.81,9.41,6.19,0,1,1,1.0
28.35,55.89,60.67,27.54,0,0,0,0.226
97.71,76.62,64.89,21.09,0,0,0,0.206
75.84,43.79,82.01,32.05,1,0,0,0.122
62.42,118.87,30.28,56.44,0,1,0,0.515
110.64,70.09,98.18,40.55,1,0,0,0.137
31.12,39.42,45.07,8.3,0,0,0,0.197
69.26,67.71,31.0,1.56,1,0,0,0.113
21.14,106.64,36.15,85.51,0,1,0,0.552
66.87,22.18,52.92,44.69,0,1,1,0.592
25.63,87.96,93.8,62.33,0,1,0,0.38
31.88,74.8,74.05,42.91,0,0,1,0.454
31.75,36.96,58.56,5.2,0,1,1,0.481
84.92,101.75,17.96,16.83,0,1,0,0.561
94.6,56.89,16.64,37.72,0,0,1,0.593
78.34,49.38,51.22,28.96,0,0,0,0.239
116.22,102.81,73.41,13.4,0,0,0,0.181
57.49,83.85,75.6,26.37,0,1,0,0.307
48.57,109.83,24.14,61.25,0,0,0,0.392
106.86,82.99,11.81,23.87,0,0,0,0.433
42.36,94.08,39.68,51.72,1,0,0,0.215
116.32,103.64,91.98,12.68,0,0,0,0.169
21.22,25.47,55.45,4.26,1,0,1,0.273
116.99,97.6,33.37,19.38,1,1,0,0.302
24.32,81.37,33.72,57.05,0,0,0,0.343
109.11,26.95,14.94,82.16,1,0,1,0.625
72.77,70.86,48.38,1.91,0,1,1,0.497
119.3,28.25,79.55,91.05,1,2,1,0.658
27.38,93.59,96.92,66.22,0,1,1,0.587
75.39,74.65,51.16,0.74,0,0,0,0.169
116.93,115.36,18.39,1.57,0,0,0,0.284
72.31,38.31,68.93,34.0,1,0,0,0.135
82.94,80.6,76.17,2.34,0,0,0,0.151
89.57,41.16,9.03,48.42,0,0,0,0.57
65.45,81.41,85.31,15.95,0,0,1,0.38
82.76,92.26,83.27,9.51,1,0,1,0.265
78.43,92.23,48.31,13.8,0,2,0,0.447
110.12,101.51,56.92,8.61,0,0,0,0.182
24.54,105.36,71.91,80.81,0,1,0,0.448
48.1,27.73,68.32,20.37,0,0,1,0.401
115.04,54.33,3.62,60.71,0,0,0,1.0
109.03,88.71,14.0,20.31,1,1,0,0.567
65.57,69.86,17.93,4.29,1,2,0,0.665
82.01,39.07,76.06,42.95,0,1,0,0.348
47.74,75.27,45.13,27.53,1,1,0,0.271
38.81,60.74,55.46,21.93,1,0,0,0.117
66.37,59.0,77.72,7.37,1,0,0,0.063
55.34,100.98,35.42,45.64,1,1,1,0.556
78.37,60.76,75.39,17.61,0,0,0,0.19
27.77,22.65,45.35,5.13,0,0,1,0.388
117.44,25.81,38.96,91.63,0,0,1,0.617
118.62,105.62,34.64,13.0,0,1,0,0.379
89.82,116.06,96.56,26.24,1,0,0,0.101
73.61,88.84,77.65,15.23,0,1,0,0.277
50.95,56.44,3.98,5.48,1,1,0,1.0
101.38,113.86,95.83,12.48,0,0,0,0.167
88.47,86.28,77.99,2.19,0,0,0,0.15
36.26,104.43,16.62,68.17,0,1,0,0.718
111.09,96.59,9.48,14.51,1,2,0,1.0
102.25,57.91,32.2,44.34,0,0,0,0.316
114.98,67.87,63.17,47.11,0,0,0,0.272
92.57,38.61,62.42,53.96,0,0,1,0.49
81.34,49.2,29.03,32.14,1,2,0,0.53
61.82,97.81,45.68,35.99,0,1,0,0.39
113.27,109.4,22.77,3.88,1,1,0,0.354
106.61,92.45,6.96,14.16,0,0,0,0.575
24.52,66.52,52.66,42.0,0,0,0,0.27
22.64,28.65,36.01,6.01,0,1,0,0.354
57.65,25.69,55.2,31.95,1,1,0,0.254
101.06,57.43,94.76,43.62,0,0,0,0.246
118.73,66.38,16.05,52.35,0,2,1,1.0
35.04,80.91,2.19,45.87,0,0,0,1.0
79.41,20.65,9.53,58.76,1,0,0,0.479
58.09,118.97,47.35,60.88,0,1,0,0.447
116.99,56.39,71.28,60.6,0,1,1,0.598
104.21,104.81,58.91,0.6,0,1,0,0.268
103.83,73.5,50.5,30.34,0,2,0,0.48
66.87,33.04,36.69,33.83,0,0,0,0.277
61.48,99.76,32.38,38.27,0,0,0,0.301
47.34,90.98,38.88,43.64,0,1,0,0.435
25.64,72.74,61.94,47.11,0,0,1,0.473
106.47,71.46,18.44,35.02,0,1,0,0.598
101.29,28.75,77.59,72.54,0,0,0,0.326
119.97,85.58,58.37,34.39,1,1,1,0.454
119.66,111.12,28.38,8.54,0,2,1,0.779
75.54,29.32,51.11,46.22,0,1,1,0.6
96.9,46.35,96.35,50.55,1,1,0,0.248
